Date,High,Low,Open,Close,Volume
2022-08-23,134.99000549316406,132.9499969482422,133.41000366210938,133.6199951171875,36252100
2022-08-24,135.47000122070312,132.10000610351562,132.75,133.8000030517578,38627000
2022-08-25,137.4199981689453,134.27999877929688,135.25999450683594,137.27999877929688,37496300
2022-08-26,137.8300018310547,130.5,136.5500030517578,130.75,53322700
2022-08-29,131.9499969482422,128.77000427246094,129.89999389648438,129.7899932861328,48101600
2022-08-30,132.07000732421875,126.8499984741211,131.25,128.72999572753906,49203000
2022-08-31,130.58999633789062,126.73999786376953,129.4499969482422,126.7699966430664,53648700
2022-09-01,128.02000427246094,123.66000366210938,126.0,127.81999969482422,56636100
2022-09-02,131.3800048828125,126.38999938964844,129.5,127.51000213623047,57429800
2022-09-06,128.6199951171875,124.73999786376953,127.91999816894531,126.11000061035156,43888600
2022-09-07,129.82000732421875,125.4000015258789,126.12000274658203,129.47999572753906,47900300
2022-09-08,130.27999877929688,127.0999984741211,127.72000122070312,129.82000732421875,43988500
2022-09-09,133.69000244140625,130.75999450683594,130.91000366210938,133.27000427246094,49387600
2022-09-12,136.49000549316406,134.0,134.10000610351562,136.4499969482422,53826900
2022-09-13,131.39999389648438,126.2699966430664,131.00999450683594,126.81999969482422,72694000
2022-09-14,128.83999633789062,126.33000183105469,127.36000061035156,128.5500030517578,45316800
2022-09-15,130.3699951171875,125.5,127.37999725341797,126.27999877929688,52887200
2022-09-16,123.87000274658203,120.69999694824219,122.77999877929688,123.52999877929688,115667800
2022-09-19,124.70999908447266,121.80000305175781,122.16000366210938,124.66000366210938,47279700
2022-09-20,124.4000015258789,121.13999938964844,123.3499984741211,122.19000244140625,47698400
2022-09-21,123.76000213623047,118.44999694824219,122.48999786376953,118.54000091552734,58498900
2022-09-22,118.79000091552734,116.26000213623047,117.08000183105469,117.30999755859375,55229200
2022-09-23,116.05000305175781,112.05999755859375,116.0,113.77999877929688,65126700
2022-09-26,117.33999633789062,113.12999725341797,113.30000305175781,115.1500015258789,62723300
2022-09-27,118.31999969482422,113.05000305175781,117.19999694824219,114.41000366210938,60094700
2022-09-28,118.69999694824219,113.80000305175781,114.37999725341797,118.01000213623047,55763800
2022-09-29,116.06999969482422,113.05999755859375,115.5999984741211,114.80000305175781,58969700
2022-09-30,116.91999816894531,112.83999633789062,114.08000183105469,113.0,59479600
2022-10-03,116.91000366210938,112.44999694824219,113.58000183105469,115.87999725341797,50941900
2022-10-04,123.0,119.79000091552734,119.88999938964844,121.08999633789062,62812600
2022-10-05,121.75,117.69000244140625,118.58000183105469,120.94999694824219,48217500
2022-10-06,121.52999877929688,119.5,120.7699966430664,120.30000305175781,42253800
2022-10-07,118.16999816894531,113.87999725341797,118.0,114.55999755859375,54678000
2022-10-10,116.25,112.43000030517578,115.0999984741211,113.66999816894531,42339700
2022-10-11,115.4800033569336,110.38999938964844,112.70999908447266,112.20999908447266,56432200
2022-10-12,113.83000183105469,111.4000015258789,112.48999786376953,112.9000015258789,45728700
2022-10-13,113.44000244140625,105.3499984741211,107.87999725341797,112.52999877929688,86868100
2022-10-14,114.95999908447266,106.5999984741211,114.0999984741211,106.9000015258789,67737300
2022-10-17,114.19000244140625,110.08999633789062,110.11000061035156,113.79000091552734,62782000
2022-10-18,119.5199966430664,114.79000091552734,119.05999755859375,116.36000061035156,65607400
2022-10-19,116.58999633789062,113.22000122070312,114.70999908447266,115.06999969482422,47198100
2022-10-20,118.23999786376953,113.51000213623047,113.83000183105469,115.25,48795100
2022-10-21,119.58999633789062,114.5,114.79000091552734,119.31999969482422,55660500
