High,Low,Open,Close,Buy Signal,Sell Signal,Position,Daily Strategy Return
169.86000061035156,167.13999938964844,169.69000244140625,167.57000732421875,False,False,cash,0.0
168.7100067138672,166.64999389648438,167.0800018310547,167.22999572753906,False,True,cash,0.0
168.11000061035156,166.25,167.32000732421875,167.52999877929688,False,False,cash,0.0
170.13999938964844,168.35000610351562,168.77999877929688,170.02999877929688,True,False,stock,0.014922700520600518
171.0500030517578,163.55999755859375,170.57000732421875,163.6199951171875,False,True,cash,0.0
162.89999389648438,159.82000732421875,161.14999389648438,161.3800048828125,False,False,cash,0.0
162.55999755859375,157.72000122070312,162.1300048828125,158.91000366210938,False,False,cash,0.0
160.5800018310547,157.13999938964844,160.30999755859375,157.22000122070312,False,False,cash,0.0
158.4199981689453,154.6699981689453,156.63999938964844,157.9600067138672,False,False,cash,0.0
160.36000061035156,154.97000122070312,159.75,155.80999755859375,False,False,cash,0.0
157.08999633789062,153.69000244140625,156.47000122070312,154.52999877929688,False,False,cash,0.0
156.6699981689453,153.61000061035156,154.82000732421875,155.9600067138672,False,False,cash,0.0
156.36000061035156,152.67999267578125,154.63999938964844,154.4600067138672,False,False,cash,0.0
157.82000732421875,154.75,155.47000122070312,157.3699951171875,False,False,cash,0.0
164.25999450683594,159.3000030517578,159.58999633789062,163.42999267578125,False,False,cash,0.0
160.5399932861328,153.3699951171875,159.89999389648438,153.83999633789062,False,False,cash,0.0
157.10000610351562,153.61000061035156,154.7899932861328,155.30999755859375,False,False,cash,0.0
155.24000549316406,151.3800048828125,154.64999389648438,152.3699951171875,False,False,cash,0.0
151.35000610351562,148.3699951171875,151.2100067138672,150.6999969482422,False,False,cash,0.0
154.55999755859375,149.10000610351562,149.30999755859375,154.47999572753906,False,False,cash,0.0
158.0800018310547,153.0800018310547,153.39999389648438,156.89999389648438,False,False,cash,0.0
158.74000549316406,153.60000610351562,157.33999633789062,153.72000122070312,False,False,cash,0.0
154.47000122070312,150.91000366210938,152.3800048828125,152.74000549316406,False,False,cash,0.0
151.47000122070312,148.55999755859375,151.19000244140625,150.42999267578125,False,False,cash,0.0
153.77000427246094,149.63999938964844,149.66000366210938,150.77000427246094,False,False,cash,0.0
154.72000122070312,149.9499969482422,152.74000549316406,151.75999450683594,False,False,cash,0.0
150.63999938964844,144.83999633789062,147.63999938964844,149.83999633789062,False,False,cash,0.0
146.72000122070312,140.67999267578125,146.10000610351562,142.47999572753906,False,False,cash,0.0
143.10000610351562,138.0,141.27999877929688,138.1999969482422,False,False,cash,0.0
143.07000732421875,137.69000244140625,138.2100067138672,142.4499969482422,False,False,cash,0.0
146.22000122070312,144.25999450683594,145.02999877929688,146.10000610351562,False,False,cash,0.0
147.3800048828125,143.00999450683594,144.07000732421875,146.39999389648438,False,False,cash,0.0
147.5399932861328,145.22000122070312,145.80999755859375,145.42999267578125,False,False,cash,0.0
143.10000610351562,139.4499969482422,142.5399932861328,140.08999633789062,False,False,cash,0.0
141.88999938964844,138.57000732421875,140.4199981689453,140.4199981689453,False,False,cash,0.0
141.35000610351562,138.22000122070312,139.89999389648438,138.97999572753906,False,False,cash,0.0
140.36000061035156,138.16000366210938,139.1300048828125,138.33999633789062,False,False,cash,0.0
143.58999633789062,134.3699951171875,134.99000549316406,142.99000549316406,False,False,cash,0.0
144.52000427246094,138.19000244140625,144.30999755859375,138.3800048828125,False,False,cash,0.0
142.89999389648438,140.27000427246094,141.07000732421875,142.41000366210938,False,False,cash,0.0
146.6999969482422,140.61000061035156,145.49000549316406,143.75,False,False,cash,0.0
144.9499969482422,141.5,141.69000244140625,143.86000061035156,False,False,cash,0.0
145.88999938964844,142.64999389648438,143.02000427246094,143.38999938964844,False,False,cash,0.0
147.85000610351562,142.64999389648438,142.8699951171875,147.27000427246094,False,False,cash,0.0
150.22999572753906,146.0,147.19000244140625,149.4499969482422,False,False,cash,0.0
152.49000549316406,149.36000061035156,150.08999633789062,152.33999633789062,False,False,cash,0.0
151.99000549316406,148.0399932861328,150.9600067138672,149.35000610351562,False,False,cash,0.0
149.0500030517578,144.1300048828125,148.07000732421875,144.8000030517578,False,False,cash,0.0
157.5,147.82000732421875,148.1999969482422,155.74000549316406,False,False,cash,0.0
154.24000549316406,151.9199981689453,153.16000366210938,153.33999633789062,False,False,cash,0.0
155.4499969482422,149.1300048828125,155.0800018310547,150.64999389648438,False,False,cash,0.0
152.1699981689453,145.0,148.9499969482422,145.02999877929688,False,False,cash,0.0
142.8000030517578,138.75,142.05999755859375,138.8800048828125,False,False,cash,0.0
142.6699981689453,134.3800048828125,142.08999633789062,138.3800048828125,False,False,cash,0.0
139.14999389648438,135.6699981689453,137.11000061035156,138.9199981689453,False,False,cash,0.0
141.42999267578125,137.49000549316406,140.41000366210938,139.5,False,False,cash,0.0
138.5500030517578,134.58999633789062,138.5,134.8699951171875,False,False,cash,0.0
146.8699951171875,139.5,141.24000549316406,146.8699951171875,False,False,cash,0.0
150.00999450683594,144.3699951171875,145.82000732421875,149.6999969482422,False,False,cash,0.0
150.27999877929688,147.42999267578125,148.97000122070312,148.27999877929688,False,False,cash,0.0
153.58999633789062,148.55999755859375,152.22000122070312,150.0399932861328,False,False,cash,0.0
149.8699951171875,147.2899932861328,149.1300048828125,148.7899932861328,False,False,cash,0.0
151.47999572753906,146.14999389648438,146.42999267578125,150.72000122070312,False,False,cash,0.0
152.6999969482422,149.97000122070312,152.30999755859375,151.2899932861328,False,False,cash,0.0
150.3699951171875,147.72000122070312,150.16000366210938,148.00999450683594,False,False,cash,0.0
