Date,Open,High,Low,Close,Volume,Symbol,SMA 5,SMA 10,SMA 20,SMA 50,SMA 100,SMA 200,RSI 14,MACD 12-26,Price Change %-10d,P/E Ratio
2018-06-29,164.30999755859375,165.0500030517578,163.61000061035156,163.77000427246094,24146500,IWM,,,,,,,,,,11.84584
2018-07-02,162.75999450683594,164.9600067138672,162.47999572753906,164.89999389648438,24283600,IWM,,,,,,,,,,11.84584
2018-07-03,164.75,165.6999969482422,164.6999969482422,164.9600067138672,13561300,IWM,,,,,,,,,,11.84584
2018-07-05,165.86000061035156,166.8699951171875,164.8300018310547,166.83999633789062,18640500,IWM,,,,,,,,,,11.84584
2018-07-06,166.97000122070312,168.44000244140625,166.52000427246094,168.25,19597500,IWM,165.74400024414064,,,,,,,,,11.84584
2018-07-09,169.00999450683594,169.3300018310547,168.38999938964844,169.30999755859375,16565200,IWM,166.85199890136718,,,,,,,,,11.84584
2018-07-10,169.5800018310547,169.8699951171875,167.57000732421875,168.5399932861328,18790700,IWM,167.5799987792969,,,,,,,,,11.84584
2018-07-11,167.6199951171875,168.61000061035156,167.0500030517578,167.11000061035156,23912600,IWM,168.00999755859374,,,,,,,,,11.84584
2018-07-12,168.07000732421875,168.25,166.63999938964844,167.9199981689453,19617600,IWM,168.2259979248047,,,,,,,,,11.84584
2018-07-13,167.85000610351562,168.72999572753906,167.4199981689453,167.4199981689453,15409100,IWM,168.05999755859375,166.9019989013672,,,,,,,,11.84584
2018-07-16,167.75999450683594,168.02999877929688,165.9600067138672,166.77000427246094,15946900,IWM,167.5519989013672,167.20199890136718,,,,,,,1.831837285055546,11.84584
2018-07-17,166.75,168.0,166.58999633789062,167.50999450683594,15134700,IWM,167.34599914550782,167.46299896240234,,,,,,,1.5827778695916659,11.84584
2018-07-18,167.36000061035156,168.05999755859375,166.57000732421875,167.97999572753906,13780000,IWM,167.5199981689453,167.76499786376954,,,,,,,1.8307401132143641,11.84584
2018-07-19,167.77000427246094,169.25,167.25999450683594,169.1699981689453,18398300,IWM,167.7699981689453,167.997998046875,,,,,,,1.3965487186513001,11.84584
2018-07-20,168.8000030517578,169.30999755859375,168.35000610351562,168.47999572753906,17570700,IWM,167.98199768066405,168.0209976196289,,,,,68.41282074530783,,0.13669879794297918,11.84584
2018-07-23,168.3000030517578,169.14999389648438,167.80999755859375,168.69000244140625,12335000,IWM,168.36599731445312,167.95899810791016,,,,,68.96166171927007,,-0.36618931316972936,11.84584
2018-07-24,169.4499969482422,169.75999450683594,166.22000122070312,166.88999938964844,25831300,IWM,168.24199829101562,167.79399871826172,,,,,59.430046596271815,,-0.9789925016094883,11.84584
2018-07-25,166.94000244140625,167.5,166.13999938964844,167.5,18401200,IWM,168.1459991455078,167.83299865722657,,,,,61.378242064986324,,0.23337884520615526,11.84584
2018-07-26,167.66000366210938,169.3699951171875,167.50999450683594,168.39999389648438,20944200,IWM,167.99199829101562,167.88099822998046,,,,,64.11616282843036,,0.2858478637286167,11.84584
2018-07-27,168.5,168.72000122070312,164.7899932861328,165.25999450683594,28777100,IWM,167.347998046875,167.66499786376954,167.28349838256835,,,,50.630415655000604,,-1.2901706401464013,11.84584
2018-07-30,165.25,166.02000427246094,164.07000732421875,164.1999969482422,20093700,IWM,166.4499969482422,167.40799713134766,167.30499801635742,,,,47.03392683806043,,-1.5410489047059048,11.84584
2018-07-31,164.52999877929688,166.6199951171875,164.38999938964844,165.8699951171875,23567300,IWM,166.24599609375,167.2439971923828,167.35349807739257,,,,52.73085545231632,,-0.9790456948415162,11.84584
2018-08-01,165.6999969482422,166.24000549316406,164.5,165.75999450683594,17942600,IWM,165.8979949951172,167.0219970703125,167.39349746704102,,,,52.33158180508717,,-1.3215866633929032,11.84584
2018-08-02,164.9600067138672,167.2100067138672,164.94000244140625,166.97000122070312,18292200,IWM,165.61199645996095,166.80199737548827,167.39999771118164,,,,56.25538981444389,,-1.3004651959888966,11.84584
2018-08-03,167.14999389648438,167.67999267578125,165.61000061035156,166.38999938964844,21734900,IWM,165.83799743652344,166.5929977416992,167.30699768066407,,,,53.9624384511277,,-1.240501181677679,11.84584
2018-08-06,166.27000427246094,167.50999450683594,165.89999389648438,167.32000732421875,16288800,IWM,166.46199951171874,166.45599822998048,167.2074981689453,,,,56.989668768635404,,-0.8121377066571339,11.84584
2018-08-07,167.88999938964844,168.49000549316406,167.60000610351562,167.72000122070312,15045700,IWM,166.83200073242188,166.53899841308595,167.16649856567383,,,,58.26090872646316,,0.497334671993635,11.84584
2018-08-08,167.72000122070312,167.99000549316406,166.49000549316406,167.57000732421875,14789500,IWM,167.19400329589843,166.5459991455078,167.1894989013672,,,,57.57370761676954,,0.041795417444029856,11.84584
2018-08-09,167.64999389648438,168.7100067138672,167.5500030517578,168.0,10437800,IWM,167.4000030517578,166.50599975585936,167.19349899291993,,,,59.06437310822281,,-0.2375260754048789,11.84584
2018-08-10,167.0500030517578,168.6699981689453,166.9600067138672,167.52999877929688,20521900,IWM,167.6280029296875,166.73300018310547,167.1989990234375,,,,56.718562511746676,,1.3735957569374355,11.84584
2018-08-13,167.74000549316406,168.0500030517578,165.8800048828125,166.5500030517578,20517200,IWM,167.4740020751953,166.96800079345704,167.18799896240233,,,,52.0744580147945,,1.4311852297149403,11.84584
2018-08-14,166.91000366210938,168.60000610351562,166.88999938964844,168.1999969482422,17683100,IWM,167.57000122070312,167.2010009765625,167.22249908447264,,,,58.26985947442998,,1.4047156807405319,11.84584
2018-08-15,167.6999969482422,167.82000732421875,165.14999389648438,166.08999633789062,27479900,IWM,167.2739990234375,167.23400115966797,167.12799911499025,,,,49.463916861710835,,0.1990841228225778,11.84584
2018-08-16,166.86000061035156,168.1699981689453,166.69000244140625,167.6300048828125,15484700,IWM,167.2,167.3000015258789,167.0509994506836,,,,54.82944569658116,0.019370592932432373,0.39528277971141274,11.84584
