High,Low,Open,Close,SMA Buy Signal,SMA Sell Signal,SMA Position,Daily SMA Strategy Return,EMA Buy Signal,EMA Sell Signal,EMA Position,Daily EMA Strategy Return
75.1500015258789,73.79750061035156,74.05999755859375,75.0875015258789,False,False,cash,0.0,False,False,cash,0.0
75.1449966430664,74.125,74.2874984741211,74.35749816894531,False,False,cash,0.0,False,True,cash,0.0
74.98999786376953,73.1875,73.44750213623047,74.94999694824219,False,False,cash,0.0,False,False,cash,0.0
75.2249984741211,74.37000274658203,74.95999908447266,74.59750366210938,False,False,cash,0.0,False,False,cash,0.0
76.11000061035156,74.29000091552734,74.29000091552734,75.79750061035156,False,False,cash,0.0,False,False,cash,0.0
77.60749816894531,76.55000305175781,76.80999755859375,77.40750122070312,False,False,cash,0.0,True,False,stock,0.021240813976545425
78.1675033569336,77.0625,77.6500015258789,77.5824966430664,False,False,cash,0.0,False,False,stock,0.0022607036734636488
79.26750183105469,77.7874984741211,77.91000366210938,79.23999786376953,False,False,cash,0.0,False,False,stock,0.02136437073337283
79.39250183105469,78.0425033569336,79.17500305175781,78.16999816894531,False,False,cash,0.0,False,False,stock,-0.013503277683875936
78.875,77.38749694824219,77.9625015258789,77.83499908447266,False,False,cash,0.0,False,False,stock,-0.004285519922216707
78.92500305175781,78.02249908447266,78.39749908447266,78.80999755859375,True,False,stock,0.012526478905240834,False,False,stock,0.012526478905240834
79.68499755859375,78.75,79.06749725341797,79.68250274658203,False,False,stock,0.011070996257037002,False,False,stock,0.011070996257037002
79.75499725341797,79.0,79.29750061035156,79.14250183105469,False,False,stock,-0.006776907061324833,False,False,stock,-0.006776907061324833
79.99749755859375,79.32749938964844,79.6449966430664,79.42500305175781,False,False,stock,0.003569526034268966,False,False,stock,0.003569526034268966
79.88999938964844,78.9124984741211,79.4800033569336,79.80750274658203,False,False,stock,0.004815859995308536,False,False,stock,0.004815859995308536
80.8324966430664,79.37999725341797,80.0625,79.57749938964844,False,False,stock,-0.002881976618964499,False,False,stock,-0.002881976618964499
77.94249725341797,76.22000122070312,77.51499938964844,77.23750305175781,False,False,stock,-0.029405250929448234,False,False,stock,-0.029405250929448234
79.5999984741211,78.04750061035156,78.1500015258789,79.42250061035156,False,False,stock,0.02828933448469395,False,False,stock,0.02828933448469395
81.9625015258789,80.34500122070312,81.11250305175781,81.08499908447266,False,False,stock,0.020932336067801982,False,False,stock,0.020932336067801982
81.02249908447266,79.6875,80.13500213623047,80.96749877929688,False,False,stock,-0.0014491004070108504,False,False,stock,-0.0014491004070108504
80.66999816894531,77.07250213623047,80.23249816894531,77.37750244140625,False,False,stock,-0.04433873334381144,False,False,stock,-0.04433873334381144
78.37249755859375,75.55500030517578,76.07499694824219,77.16500091552734,False,False,stock,-0.0027462960056099384,False,False,stock,-0.0027462960056099384
79.91000366210938,78.40750122070312,78.82749938964844,79.7125015258789,False,False,stock,0.03301367951955725,False,False,stock,0.03301367951955725
81.19000244140625,79.73750305175781,80.87999725341797,80.36250305175781,False,False,stock,0.008154323518098083,False,False,stock,0.008154323518098083
81.30500030517578,80.06500244140625,80.64250183105469,81.30249786376953,False,False,stock,0.011696932976394514,False,False,stock,0.011696932976394514
80.8499984741211,79.5,80.59249877929688,80.00749969482422,False,False,stock,-0.015928147387491265,False,False,stock,-0.015928147387491265
80.38749694824219,78.4625015258789,78.54499816894531,80.38749694824219,False,False,stock,0.0047495204183034545,False,False,stock,0.0047495204183034545
80.9749984741211,79.67749786376953,80.9000015258789,79.90249633789062,False,False,stock,-0.006033284139495332,False,False,stock,-0.006033284139495332
81.80500030517578,80.36750030517578,80.36750030517578,81.80000305175781,False,False,stock,0.023747777614394394,False,False,stock,0.023747777614394394
81.55500030517578,80.8375015258789,81.04750061035156,81.21749877929688,False,False,stock,-0.007121078859769314,False,False,stock,-0.007121078859769314
81.49500274658203,80.7125015258789,81.18499755859375,81.23750305175781,False,False,stock,0.0002463049559713326,False,False,stock,0.0002463049559713326
79.9375,78.65249633789062,78.83999633789062,79.75,False,False,stock,-0.018310546187148335,False,False,stock,-0.018310546187148335
81.14250183105469,80.0,80.0,80.90499877929688,False,False,stock,0.014482743314067292,False,False,stock,0.014482743314067292
81.1624984741211,79.55249786376953,80.65750122070312,80.07499694824219,False,False,stock,-0.010258968463974338,False,False,stock,-0.010258968463974338
80.11250305175781,77.625,79.65499877929688,78.26249694824219,False,False,stock,-0.02263503052234317,False,False,stock,-0.02263503052234317
76.04499816894531,72.30750274658203,74.31500244140625,74.54499816894531,False,False,stock,-0.047500385551912494,False,False,stock,-0.047500385551912494
75.63249969482422,71.53250122070312,75.23750305175781,72.0199966430664,False,False,stock,-0.033872179058296537,False,True,cash,0.0
74.47000122070312,71.625,71.63249969482422,73.1624984741211,False,True,cash,0.0,False,False,cash,0.0
71.5,68.23999786376953,70.2750015258789,68.37999725341797,False,False,cash,0.0,False,False,cash,0.0
69.60250091552734,64.09249877929688,64.31500244140625,68.33999633789062,False,False,cash,0.0,False,False,cash,0.0
75.36000061035156,69.43000030517578,70.56999969482422,74.70249938964844,False,False,cash,0.0,False,False,cash,0.0
76.0,71.44999694824219,75.9175033569336,72.33000183105469,False,False,cash,0.0,False,False,cash,0.0
75.8499984741211,73.28250122070312,74.11000061035156,75.68499755859375,False,False,cash,0.0,False,False,cash,0.0
74.88749694824219,72.85250091552734,73.87999725341797,73.2300033569336,False,False,cash,0.0,False,False,cash,0.0
72.70500183105469,70.30750274658203,70.5,72.25749969482422,False,False,cash,0.0,False,False,cash,0.0
