Date,Open,High,Low,Close,Volume,Symbol,SMA 5,SMA 10,SMA 20,SMA 50,SMA 100,SMA 200,RSI 14,MACD 12-26,Price Change %-10d,Actual Returns
2013-07-01,161.25999450683594,162.47999572753906,161.0800018310547,161.36000061035156,131954800,SPY,,,,,,,,,,
2013-07-02,161.1199951171875,162.3000030517578,160.5,161.2100067138672,154863700,SPY,,,,,,,,,,-0.0009295605845129895
2013-07-03,160.47999572753906,161.77000427246094,160.22000122070312,161.27999877929688,75216400,SPY,,,,,,,,,,0.0004341670027587785
2013-07-05,162.47000122070312,163.0800018310547,161.3000030517578,163.02000427246094,122416900,SPY,,,,,,,,,,0.010788724617645684
2013-07-08,163.86000061035156,164.38999938964844,163.0800018310547,163.9499969482422,108092500,SPY,162.16400146484375,,,,,,,,,0.005704776416438628
2013-07-09,164.97999572753906,165.3300018310547,164.27000427246094,165.1300048828125,119298000,SPY,162.91800231933593,,,,,,,,,0.007197364785208382
2013-07-10,164.97000122070312,165.75,164.6300048828125,165.19000244140625,121410100,SPY,163.71400146484376,,,,,,,,,0.0003633352923131383
2013-07-11,167.11000061035156,167.61000061035156,165.17999267578125,167.44000244140625,135592200,SPY,164.9460021972656,,,,,,,,,0.013620679016565163
2013-07-12,167.38999938964844,167.92999267578125,167.1300048828125,167.50999450683594,104212700,SPY,165.84400024414063,,,,,,,,,0.0004180128070303546
2013-07-15,167.97000122070312,168.38999938964844,167.67999267578125,168.14999389648438,69450600,SPY,166.68399963378906,164.42400054931642,,,,,,,,0.0038206639044593427
2013-07-16,168.25999450683594,168.36000061035156,167.07000732421875,167.52000427246094,88702100,SPY,167.16199951171876,165.04000091552734,,,,,,,3.677174967170195,-0.003746593201848558
2013-07-17,168.16000366210938,168.47999572753906,167.72999572753906,167.9499969482422,92873900,SPY,167.71399841308593,165.71399993896483,,,,,,,4.013093394965699,0.0025668139017109848
2013-07-18,168.30999755859375,169.27000427246094,168.1999969482422,168.8699951171875,103620100,SPY,167.9999969482422,166.4729995727539,,,,,,,4.4945795922025935,0.005477809977149528
2013-07-19,168.52000427246094,169.22999572753906,168.30999755859375,169.1699981689453,103831700,SPY,168.33199768066407,167.08799896240234,,,,,,,3.635392778300174,0.0017765326016006
2013-07-22,169.41000366210938,169.74000549316406,169.00999450683594,169.5,79428600,SPY,168.60199890136718,167.64299926757812,,,,,91.95890494999976,,3.274338083632928,0.0019507113236776341
2013-07-23,169.8000030517578,169.8300018310547,169.0500030517578,169.13999938964844,80829700,SPY,168.92599792480468,168.04399871826172,,,,,88.42470349460456,,2.370813835465435,-0.0021238974062038896
2013-07-24,169.7899932861328,169.86000061035156,168.17999267578125,168.52000427246094,112914000,SPY,169.03999938964844,168.3769989013672,,,,,82.54117485308431,,1.976027620834132,-0.0036655736042614517
2013-07-25,168.22000122070312,169.0800018310547,167.94000244140625,168.92999267578125,111088600,SPY,169.0519989013672,168.5259979248047,,,,,83.33101881597472,,0.882016396718055,0.002432876767896719
