High,Low,Open,Close,SMA Buy Signal,SMA Sell Signal,SMA Position,Daily SMA Strategy Return
54.685001373291016,54.08250045776367,54.287498474121094,54.48500061035156,False,False,cash,0.0
55.1349983215332,54.72999954223633,54.752498626708984,54.92499923706055,False,False,cash,0.0
55.872501373291016,54.852500915527344,55.037498474121094,55.744998931884766,False,False,cash,0.0
57.064998626708984,55.599998474121094,55.8125,56.25749969482422,False,False,cash,0.0
57.217498779296875,56.5,56.627498626708984,56.907501220703125,False,False,cash,0.0
57.29499816894531,56.657501220703125,57.102500915527344,57.09000015258789,False,False,cash,0.0
57.41749954223633,56.275001525878906,57.247501373291016,56.717498779296875,False,False,cash,0.0
56.837501525878906,55.32500076293945,56.557498931884766,55.775001525878906,False,False,cash,0.0
56.342498779296875,55.1775016784668,55.462501525878906,55.32500076293945,False,False,cash,0.0
55.462501525878906,54.11750030517578,55.23749923706055,54.58250045776367,False,False,cash,0.0
56.07500076293945,54.13999938964844,54.502498626708984,55.962501525878906,False,False,cash,0.0
56.25,54.959999084472656,56.23500061035156,55.26750183105469,False,False,cash,0.0
57.087501525878906,55.64250183105469,55.880001068115234,56.602500915527344,False,False,cash,0.0
56.709999084472656,55.630001068115234,56.4375,55.959999084472656,False,False,cash,0.0
55.73749923706055,54.317501068115234,55.537498474121094,54.470001220703125,False,False,cash,0.0
55.462501525878906,54.279998779296875,54.4474983215332,54.560001373291016,False,False,cash,0.0
54.904998779296875,53.82500076293945,54.625,54.592498779296875,False,False,cash,0.0
55.56999969482422,54.787498474121094,55.060001373291016,55.00749969482422,False,False,cash,0.0
55.34000015258789,54.3224983215332,55.19499969482422,54.415000915527344,False,False,cash,0.0
55.314998626708984,54.157501220703125,54.20500183105469,55.1974983215332,False,False,cash,0.0
55.70500183105469,54.92499923706055,54.9375,55.54750061035156,False,False,cash,0.0
55.9375,54.939998626708984,55.25,55.10499954223633,False,False,cash,0.0
56.61000061035156,55.8849983215332,55.95500183105469,56.23749923706055,True,False,stock,0.02055166870940983
56.459999084472656,56.005001068115234,56.1974983215332,56.435001373291016,False,False,stock,0.0035119295649674864
57.35499954223633,56.587501525878906,56.98749923706055,56.814998626708984,False,False,stock,0.006733361285923722
57.5,56.657501220703125,56.8125,57.31999969482422,False,False,stock,0.008888516770602095
58.36750030517578,57.44499969482422,57.51250076293945,58.01750183105469,False,False,stock,0.01216856489783713
58.087501525878906,56.682498931884766,57.69499969482422,56.997501373291016,False,False,stock,-0.01758090964919312
57.102500915527344,55.14500045776367,56.9900016784668,56.0724983215332,False,False,stock,-0.016228835115064677
56.20000076293945,55.04999923706055,55.5525016784668,55.942501068115234,False,False,stock,-0.002318378123131515
56.817501068115234,55.5625,55.90999984741211,56.717498779296875,False,False,stock,0.013853469122483641
56.587501525878906,54.01250076293945,56.3650016784668,54.09000015258789,False,True,cash,0.0
54.875,53.08000183105469,53.630001068115234,53.61249923706055,False,False,cash,0.0
55.720001220703125,54.209999084472656,55.10499954223633,55.52750015258789,False,False,cash,0.0
55.45750045776367,54.317501068115234,55.290000915527344,54.34000015258789,False,False,cash,0.0
55.747501373291016,54.189998626708984,54.73249816894531,55.537498474121094,False,False,cash,0.0
55.65999984741211,54.834999084472656,55.57500076293945,55.29750061035156,False,False,cash,0.0
54.935001373291016,53.25,54.46500015258789,54.005001068115234,False,False,cash,0.0
55.314998626708984,54.35749816894531,54.51499938964844,54.82749938964844,False,False,cash,0.0
55.84000015258789,54.73500061035156,54.9474983215332,55.162498474121094,False,False,cash,0.0
55.8125,53.67499923706055,53.95750045776367,55.682498931884766,False,False,cash,0.0
56.057498931884766,53.6349983215332,55.650001525878906,53.772499084472656,False,False,cash,0.0
55.345001220703125,54.1875,54.4275016784668,54.95000076293945,False,False,cash,0.0
55.04750061035156,53.16749954223633,53.974998474121094,54.07500076293945,False,False,cash,0.0
54.92250061035156,51.522499084472656,54.79750061035156,53.060001373291016,False,False,cash,0.0
53.79499816894531,52.317501068115234,52.787498474121094,53.32500076293945,False,False,cash,0.0
55.11249923706055,54.154998779296875,54.220001220703125,54.71500015258789,False,False,cash,0.0
55.59000015258789,54.20249938964844,54.76250076293945,55.55500030517578,False,False,cash,0.0
53.412498474121094,51.35749816894531,52.38750076293945,51.869998931884766,False,False,cash,0.0
51.09749984741211,49.54249954223633,51.07500076293945,50.397499084472656,False,False,cash,0.0
51.18000030517578,50.42250061035156,50.47999954223633,50.942501068115234,False,False,cash,0.0
52.51499938964844,51.032501220703125,51.49250030517578,52.48749923706055,False,False,cash,0.0
52.529998779296875,51.6875,52.494998931884766,52.122501373291016,False,False,cash,0.0
51.502498626708984,50.5625,51.38750076293945,51.11750030517578,False,False,cash,0.0
49.962501525878906,48.4474983215332,49.75,48.54249954223633,False,False,cash,0.0
49.29499816894531,47.86249923706055,47.907501220703125,48.057498931884766,False,False,cash,0.0
48.619998931884766,46.48249816894531,48.474998474121094,46.70000076293945,False,False,cash,0.0
47.99250030517578,46.724998474121094,47.09749984741211,47.852500915527344,False,False,cash,0.0
48.74250030517578,47.3650016784668,47.625,48.38249969482422,False,False,cash,0.0
47.67499923706055,46.247501373291016,47.5,46.46500015258789,False,False,cash,0.0
45.36750030517578,43.877498626708984,44.592498779296875,44.244998931884766,False,False,cash,0.0
45.067501068115234,44.13750076293945,44.932498931884766,44.19499969482422,False,False,cash,0.0
44.150001525878906,43.025001525878906,43.73500061035156,43.0724983215332,False,False,cash,0.0
43.73749923706055,42.564998626708984,43.560001373291016,43.654998779296875,False,False,cash,0.0
